"Type","Sentence"
"sci","исследователи констатируют острую нехватку учителей в степном крае, связанную с плохими материально-техническими условиями работы, низкой заработной платой, отсутствием региональных профессиональных учреждений педагогического образования."
"sci","исследователи проанализировали ее историю, выявили содержание процесса обучения, кадровый состав, общую численность выпускников, их роль в социально-экономическом и культурном развитии степного края [адельбаева, 2010]."
"fict","исстари в этой немежеванной степи лежат рядом ""вольное"" богатство, почти без всяких обязанностей, и ""вольная"" бедность, несущая все тягости... а степь дремлет в своей неподвижности, отдаваясь с стихийной бессознательностью и богатому, и бедному, не пытаясь разрешить наконец вековые противоречия, то и дело подымавшиеся над ней внезапными бурными вспышками, как эти вихри, взметающие пыль над далеким простором...  вихри и в эту минуту вставали кое-где над степной ширью и падали бесследно... а под ними все та же степь, недвижимая, ленивая и дремотная...  около двух часов дня вправо от железной дороги замелькали здания уральска, и, проехав мимо казачьего лагеря, поезд тихо подполз к уральскому вокзалу, конечному пункту этой степной дороги."
"sci","исходная (на начало гнездового периода) численность прыткой ящерицы на общей для луговых луней гнездовой территории определена в 50200 особей, совместной со степным лунём – в 55000 особей."
"sci","исходя из вышеизложенного, в условиях крайне обострившихся экологических проблем, порожденных длительной природозатратной деятельностью человека и ощутимыми климатическими изменениями, многократно возрастает актуальность адаптации к ним современного степного землепользования, а ее результаты представляют несомненный практический интерес."
"sci","исходя из этого, в качестве основных путей решения сложившихся проблем степного землепользования представляется перспективной поляризация земельного фонда."
"sci","итак, в целом цветовые характеристики наиболее специфичны в почвах под широколиственными лесами (серых лесных), а под степями достаточно часто встречаются почвы с морфологическими признаками, свойственными серым лесным почвам."
"fict","итак, во второй половине апреля кроншнепы занимают степи или степные места, иногда со всех сторон окруженные пашнею, и немедленно вьют, или, вернее сказать, устраивают свои гнезда, потому что витья тут немного."
"fict","итак, вот мое разделение дичи:       разряд i    болотная дичь       1. бекас    2. дупельшнеп    3. гаршнеп    4. болотный кулик    5. красноножка, щеголь    6. сорока    7. речной кулик    8. травник    9. поручейник    10. черныш    11. фифи    12. поплавок    13. чернозобик, или краснозобик    14. морской куличок    15. зуек    16. песочник    17. куличок-воробей    18. болотный курахтан    19. болотная курица    20. погоныш, болотный коростель    21. пиголица, чибис       разряд ii    водяная дичь       1. лебедь    2. гусь    3. кряковная утка    4. шилохвость    5. серая утка    6. свиязь    7. широконоска    8. чирок    9. нырок    10. чернь    11. крохаль, или гагара    12. гоголь    13. водяная курица, лысуха       разряд iii    степная, или полевая дичь       1. дрофа, дудак, или тудак    2. журавль    3. стрепет    4. кроншнеп, степной кулик    5. кречетка, степная пиголица    6. серая куропатка    7. озимая курица | полевые    8. морская ласточка | курахтаны    9. коростель полевой, или луговой    10. перепелка       разряд iv    лесная дичь       1. глухарь, глухой тетерев    2. тетерев березовик    3. рябчик    4. белая куропатка    5. вальдшнеп, лесной кулик    6. витютин |    7. клинтух | дикие голуби    8. горлица |    9. дрозды    10. зайцы       в строгом смысле нельзя назвать это разделение совершенно точным, потому что нельзя определить с точностью, на каком основании такие -то породы птиц называются болотною, водяною, степною или лесною дичью, ибо некоторые противоположные свойства мешают совершенно правильному разделению их на разряды: некоторые одни и те же породы дичи живут иногда в степи и полях, иногда в лесу, иногда в болоте."
"sci","итак, структурные признаки лесных фитоценозов ослабевают при росте вероятности степной геоморфологической ниши более 0,3. редколесные кустарниково-высокотравные сообщества в степных местоположениях водосборных понижений (бассейн р. м. бухарча) южной экспозиции в краевой южной части плато имеют почвы, характерные для лесов как по химическому составу, так и по цветовым характеристикам."
"sci","их основные характеристики, также как и их частичное распространение на территории евразийских степей, послужат двумя основными составляющими тенгрианской цивилизации."
"sci","их пары держались преимущественно у зарослей степных кустарников, растущих по днищам балок, где луни, вероятно, гнездились."
"sci","их реализация на перманентной пашне (земледельческий полюс) и особенно на землях степного бихолдера за границами плакоров (условно пахотнопригодные угодья) будет способствовать рациональному использованию лимитированных природных ресурсов и приведению ландшафтов в близкое к естественному состоянию."
"fict","их резкий предостерегающий посвист странным образом гармонировал с величайшим безмолвием, господствовавшим в степи."
"fict","их становье — река, луга степи."
"fict","ишо беды наживем, как раз ишо дерзать тебя зачнут… —ну, уж лучше тут нехай ловют да в тюрьму сажают, чем там по степям с винтовкой таскаться,— устало сказал пантелей прокофьевич.— я им не молоденький по сорок верст в день отмахивать, окопы рыть, в атаки бегать, да по земле полозить, да хорониться от пулев."
"fict","к вечеру, стоная, ломает степная речушка лед, мчит его, полноводная, туго налитая, как грудь кормилицы, и пораженный неожиданным исходом зимы, стоит на песчаном берегу человек, ищет глазами места помельче, щелкает запотевшего, перепрядывающего ушами, коня плетью."
"fict","к далекому степному пруду, перекликаясь, летели чибисы."
"sci","к западу от степного приуралья в донецком гмц в бахмутской и кальмиусторецкой котловинах древние горняки-металлурги добывали похожие по морфологии и химизму плитно-желвачные халькозиновые постройки в рудопроявлениях нижней перми (татаринов, 1977, 25, с."
"sci","к категории «степных» местоположений в настоящее время относятся плато, гребни, выпуклые крутые южные склоны, но во многих таких урочищах вероятность лесной геоморфологической ниши существенно выше 0. однако после гибели лесов после пожаров химические свойства приблизились к степным."
"fict","к концу первой половины июня погода прочно установилась, ни единой тучки не появлялось на небе, и дивно закрасовалась под солнцем цветущая, омытая дождями степь!"
"fict","к могилам ветер нес со степи уже не горький душок полыни, а запах свежеобмолоченной соломы с расположенных за хутором гумен."
"sci","к настоящему времени её обитание достоверно доказано на территории участков «таловская степь», «буртинская степь» и «айтуарская степь»."
"fict","к ней ничего не чувствовал григорий, разве только неприязнь за те минуты, которые пережил, когда вез корчившуюся в родах аксинью со степи."
"sci","к редким видам низших наземных позвоночных участка «буртинская степь», по нашим данным 2018 г., следует отнести болотную черепаху."
"sci","к северной части участка непосредственно примыкает лесо-луговая пойма р. урал (степной заповедник…, 1996; чибилёв, 2014)."
"fict","к собственному моему удивлению и огорчению, я почти незнаком с нравами и стрельбой этой первоклассной степной дичи, хотя долго жил в такой губернии, где дрофа в некоторых уездах продолжает водиться довольно изобильно."
"sci","к тому же происходит процесс зарастания настоящих степей на пологих склонах конкурентоспособными травами и степными кустарниками по причине скопления мелкозема на данных участках."
"fict","к утру он миновал цепь залесенных плоскогорий и увалов и очутился в открытой степи."
"sci","к этому времени уже были распаханы лучшие ковыльные степи на зональных южных черноземах."
"fict","к югу от станицы каргинской, на двадцать восемь верст в длину и шесть в ширину, разлеглась целинная, извеку не паханная заповедная степь."
"fict","каждый день из степей солдаты приводили новые партии непокорных казаков и каждый день гнали их дальше — в оренбург, саратов."
"fict","каждый жеребец уводил свой косяк в степь, ревниво соблюдая кобылиц."
"fict","казак мчался по степи во весь дух."
"fict","казак назвал фамилию известного степного богача, скотопромышленника, владеющего в вольной степи несколькими такими хуторами и десятками тысяч голов скота."
"fict","казак только ахал, глядя на полеты степных антилоп."
"fict","казаки в изумлении глядели в степи."
"fict","казаки гостеприимно радушны к своим землякам, как яицкие степи и река."
"fict","казаки заранее покряхтывают и улыбаются, думая об этом бесшабашном пиршестве на берегах яика… ближе к степи, сотенник отступя от последнего ряда будар, отдельно от казаков сидят на траве казачки."
"fict","казаки кричали «ура», пели песни — чаще всего сотенную песню второго уральского полка «в степи широкой под иканом», — и в это время качали ивеюшку на руках."
"fict","казаки поглядывали на азиатские степи глазами победителей."
"fict","казаки преданы реке, степям."
"fict","казаки пронесли его по всем дорогам от пруссии и буковины до донских степей, и он, нерушимый душок кавалерийской части, был столь же близок и знаком, как и запах родного куреня."
"fict","казаки разбежались по степным хуторам."
"fict","казаки сторожили переправы, старались выбить киргиза поглубже в степь и захватить левый берег с поемными лугами и ковыльной степью."
"fict","казаки, выламывавшие из плетня колья, сыпанули через гумно в степь."
"fict","казаков родная степь убаюкала скоро и крепко, только мне, чужаку, все еще не спалось."
"fict","казалось - даже отголоски свистка несутся над пустою степью...  - у моего хутора вплоть пройдет, - добавил поляков."
"fict","казалось, - это бледная степь сонно грезит туманными призраками... облака теснились, выползали друг из-за друга, молчаливо и упорно... вот какая -то встревоженная толпа, море покорно склоненных голов, по которым скользят отблески пожара."
"fict","казалось, стены трактира разомкнулись, и степь отвечает певцу своими дальними замирающими отголосками... но он вдруг опять оборвал...  - давай, ребята, воровской корабличек... он откашлялся и затянул опять:  - ка-ак по-?-морю было, морю синему, по тому морю по каспицкому...  к юносову присоединился каюрчей."
"sci","казалось, что именно в ростовской, «самой степной области», вот-вот появится первый в россии полноценный степной резерват."
"fict","казачата бежали на перегонки в степь, брыкались, ржали и ликовали от вида степных просторов, от радостных предчувствий предстоящего зрелища."
"fict","казачата, проворные звереныши степных просторов, проводят дни и ночи под небом."
"fict","казачий паром оказался в частных руках, и хозяин уехал куда -то в поле, заперев паром на замок...  через полчаса мы были опять на казачьей стороне урала, в уже знакомом январцеве... с высокой кручи я кинул последний взгляд на неприветливую степь... она была вся закутана мглой... где -то синели какие -то пятна, где -то прорезались загадочные огоньки, но туманная пелена опять сливалась в сплошную, задумчивую тучу, все больше насыщавшуюся темнотою близкой ночи...  наш конек опять уверенно трусил по знакомой дороге к близкому ночлегу в требухинском поселке, а в моем воображении все еще носились впечатления этого дня: группа киргизской молодежи на берегу утвы, у пустого зимовья, ровная степь под грустной пеленой дождя, мокрые кибитки даникешкина аула со спящими потомками чингис-ханов...  и невольно устанавливалась парадоксальная связь между этой некогда враждебной степью и судьбами казачьего урала... она ""замирилась"" и дремлет в ожидании неизвестного будущего, и вместе с этим умирает своеобразный казачий строй, с его оригинальным бытом и складом... теперь это только еще случайно сохраняющийся обломок прошлого... прошлого красивого, сильного, оригинального и поэтического, но все-таки прошлого... борьба стихла... ни жилому осетру, ни степному верблюду не задержать новых условий."
"fict","казачонку показалось, что даже у себя в степях он никогда еще не видел столь ослепительно яркого дня."
"fict","казачонок, глазами следя за яшенькиной спиной, нутром и сейчас слышит острое и холодноватое дыхание степных просторов."
"fict","казенные источники рисуют всю эту толпу на одно лицо: туманное скопище призраков, отмеченных общей характеристикой бунтовщиков и злодеев... степное марево, как облака в знойный день, как переносные пески, наметаемые изменчивыми ветрами........  современный илек уже очень мало напоминает бывший боевой аванпост урала."
"sci","кайнар участка «буртинская степь» и бб."
"fict","как будет тогда реветь и жалеть отец, что кинул его одного среди степи."
"fict","как будто от того, что траве не видно в потемках своей старости, в ней поднимается веселая, молодая трескотня, какой не бывает днем; треск, подсвистыванье, царапанье, степные басы, тенора и дисканты - все мешается в непрерывный, монотонный гул, под который хорошо вспоминать и грустить."
"fict","как бы я хотел стать степным курганом, обратиться, как жена лота, в соляной столб или каменную бабу и так вот вечно и слепо глядеть на мир!.."
"sci","как впоследствии выяснилось, широкомасштабное вовлечение в пашню степных угодий не стало гарантом стабильности зернового производства, прежде всего по причине стремительной деградации и снижения плодородия малопригодных для обработки почв."
"fict","как всполохнулись мои мучители, да какое там всполохнулись — страх смертный взял их, кинулись кто куда… к лошадям — а те храпанули, да в степь!"
"fict","как выжженная палами степь, черна стала жизнь григория."
"fict","как вышел в степь — оглянулся."
"fict","как живописны и разнообразны, каждая в своем роде, лесная, степная и гористая твоя полоса, особенно последняя, по скату уральского хребта, всеми металлами богатая, золотоносная полоса!"
"sci","как и все мегапроекты, целинный, мобилизуя учёных, тоже способствовал развитию фундаментальных географических исследований в степной зоне."
"sci","как и предыдущий вид, в условиях сбитых пастбищ участка «таловская степь» в прошлом был одним из фоновых видов."
"fict","как много человечьих голов катится и бежит по степи!"
"sci","как обычный вид она была известна и в верховье ручья кайнар (степной заповедник…, 1996; пуляев и др., 2000)."
"fict","как огнепоклонник, готов часами я сидеть у костра, слушать его и молчаливую, редкую на голоса вечернюю степь, смотреть в розовое, пышущее жаром нутро его, следить за перебегающими по углям светлыми искрами, и все во мне тогда инстинктивно, противу рассудочности, поет славу, гимн пресветлому огню, исцелившему моих незапамятно давних предков от мрака, холода и стадного одиночества… или пречистой воде, когда на долгие дни кругом зной, зной без конца, без облаков, и посередине степи, по стрежню всех моих помыслов, вконец обедневших желаний течет едва ли не пересыхающий ручеек, а я стою на коленях, черпаю шершавым пряным лопушком и пью, пью до изнеможения и усталости в горле, и с каждым глотком все более становлюсь тем, что я есть — человеком, у которого, кроме жажды, есть и все остальное."
"sci","как правило, ученые рассматривают проблему в контексте истории развития системы российского школьного образования в степном крае."
"sci","как правило, это имеет место при пониженной вертикальной расчленённости, то есть в привершинных частях склонов, на перегибах от плато к склонам, а если на южных склонах – то при индексе аккумуляции стока (flow accumulation) не менее 5000. степи, в отличие от лесов, часто встречаются в местоположениях, которые могут быть с примерно равной вероятностью свойственной и степям, и лесам (рис."
"fict","как при вспышке молнии, за какое -то неуловимое мгновение григорий увидел и лошадь с белой звездой нагрудника, покрытого хлопьями пены, и всадника с красным, разгоряченным, молодым лицом, и широкий пасмурный просвет уходящей к дону степи — за ним… в следующий миг надо было уклоняться от удара и рубить самому."
"fict","как разливная российская грусть, расстилалась от нахмуренного неба над лесом на том берегу, над водою, над одиноким стогом в степи, за палаткой, над бледным во дню огнем нашего костра мглистая серость."
"sci","как свидетельствуют результаты широкомасштабных научных исследований, проведенных различными научными и учебными центрами, основными причинами деградации земельных угодий степных регионов россии за истекшее столетие стало их повсеместное истощение вследствие преимущественно экстенсивного земледелия и значительного превышения антропогенной нагрузки на неполнопрофильные, склоновые и малоустойчивые к эрозионным проявлениям почвы (кирюшин, 2019)."
"fict","как столбы на степной дороге, походили друг на друга дни."
"fict","как теперь вижу я небо, усеянное звездами, и степь, похожую на открытое море; как теперь слышу слова:  дай нам бог, казаченкам, пожить да послужить, на своей сторонушке головки положить!"
"fict","как -то раз, в особо темную ночь, вывел его из мякинника и охлюпкой поскакал в степь."
"fict","как -то утром иду я через площадь в степь за кобылой, и вот тебе — навстречу собачья свадьба."
"fict","как только покажется подножный корм, башкирцы, все без исключения, со всеми своими семействами, здоровые и больные, с всем своим скарбом, переселяются в степь."
"sci","как это ни парадоксально, именно овцеводы — носители древнеямной культуры раннего бронзового века стали первыми героями горно-металлургического фронтира степей северной евразии.13 пастушеская модель от древнеземледельческой отличалась особенностями природноклиматической, территориальной, хозяйственно-культурной (скотоводческой) системы организации производства, высокой мобильностью, отсутствием клановой ординации технологических операций, спецификой подготовки рудных материалов к плавке пиротехническим (обогатительный и рафинирующий пожог при температурах до 1 000°с) и химическим (окисление поташем) путями, способом восстановления меди в малых отражательных печах с сегрегацией выплавляемых материалов на пироксеновый или оливиновый шлаковый короб вверху и цельный лепешкообразный слиток черновой восстановленной меди (93–98 % cu; 0,5–2 % fe; 0,5–1,5 % s и др.)"
"fict","каких бы дел можно было бы с ними натворить на урале, на его песчаных мысах, в зарослях леса, в милой степи!"
"sci","какого-то единого центра этих металлургических новаций в степных регионах северной евразии, вероятно, не имелось."
"sci","калмыкова (2014): гербарий фгбу «заповедники оренбуржья»); западная граница участка «буртинская степь», кочкарное болото (о.г."
"sci","калмыкова, 08.05.2010); балка новый дол, верхняя часть каменистого степного склона северной экспозиции (oris без номера, о.г."
"fict","караулил людей луговой скоротечный покос, доцветало за доном разнотравье, невровень степному, квелое и недуховитое."
"sci","кармен) представлены типичные сообщества южных степей, характерными компонентами которых выступают labidostomis lucida axillaris (lac."
"fict","каюрчей, сдвинув лохматые брови, пристал к юносову, и печаль старой песни полилась ровным могучим потоком...  ...да распахана там пашня яровая...  третий старик окончательно очнулся и на этот раз уже в лад присоединил к прочим свой могучий бас:  пашня пахана не плугом, не сохою, она пахана булатными копьями, взборонена конскими копытами...  эта дума, в которой войско до сих пор вспоминает о гибели целого отряда в жестокой степной сече с киргизами, - видимо, не умерла еще и в сердцах казачьей молодежи."
"fict","киргиз-косячник гнал табун лошадей к своей кибитке, одиноко стоявшей на выгоне, и лошадиные морды мелькали, слабо рисуясь в золотистом пыльном облаке...  дорога наша прижалась к тихой степной речке деркулу, причудливыми извилинами как бы переплетавшейся с чаганом."
"fict","киргизцы сказали им, чтобы они вперед к ним не жаловали в степь, и даже сделали им преумный вопрос: для чего мы к вам не ездим хвалить нашу веру?"
"fict","киргизы, изредка встречавшиеся нам на пути, или совсем не говорили по-русски, или беспечно указывали направление, не понимая, чтобы в степи можно было сбиться."
"fict","кирилл любил рыбалку и степи."
"sci","кириченко, специально изучавший гемиптерофауну степного приуралья и поймы р. урал в 1949–1952 гг."
"fict","клекот их стал громким, зычным, широким на всю степь."
"sci","ключевые участки в значительной степени охватывают природное разнообразие степей заволжско-уральского региона, представляя подзоны северных и средних степей, различные типы и варианты ландшафтов."
"sci","км2), их пространственный разброс (700 км между крайними участками), разнообразие природных условий и структуры природопользования позволяет интерпретировать полученные выводы для всего степного сектора заволжско-уральского региона."
"fict","ко всему этому он относился с живым интересом интеллигентного человека, заброшенного в далекую степь, получающего письма и газеты из илека, ""при счастливой оказии""."
"sci","ковыль перистый stipa pennata l. (poaceae) – степной плотнодерновинный злак, травянистый поликарпик, обладающий декоративными свойствами (в фазе плодоношения), высотой 30– 100 см, ксерофит, мезотроф, гелиофит с интравагинальными побегами (рис."
"fict","когда возник вопрос об отчуждении земли под полотно дороги, - казачья община оказалась в затруднении; приходилось в неделенную степь пустить целую полосу, которая отходила в собственность дороги."
"fict","когда дед однажды припомнил, как маленького василька, восьмилетнего малыша, чуть не затоптало стадо сайгаков в степи и он ревел целый час от испуга, — венька лишь ухмыльнулся, приняв это за хорошую сказку."
"fict","когда куличата подрастут и труднее станет прятаться им в степной, иногда невысокой траве, отец с матерью выводят их в долочки и вообще в такие места, где трава выше и гуще или где растет мелкий степной кустарник; там остаются они до совершенного возраста молодых, до их взлета, или подъема."
"fict","когда молодые подрастут в полгуся и больше и даже почти оперятся, только не могут еще летать,       [водяная птица в этом отношении совершенно противоположна некоторым породам степной дичи; перья в крыльях молодых тетеревов, куропаток и перепелок вырастают прежде всего, и они еще в пушку могут перелетывать, а у всей водяной дичи, напротив, перья в крыльях вырастают последние, так что даже безобразно видеть на выросшем и оперившемся теле молодого гуся или утки голые папоротки с синими пеньками.]"
"fict","когда наступит теплая погода и везде пойдет молодая трава, стрепета вдруг оказываются по степным местам и полям уже врассыпную."
"fict","когда он впервые заалел в этих степях?"
"fict","когда подъезжаешь к уральску по выжженной степи — видны бойня, жиденькие сады на речке чагане да облезлые колокольни."
"fict","когда проводили железную дорогу, один из этих курганов ""нарушили"", и в нем, говорят, оказался хорошо сохранившийся скелет неведомого воина, верхом на скелете лошади, с лицом, обращенным глазными впадинами к востоку... но разобрать и сосчитать эти курганы среди однообразно взволнованной степи мне не удалось... по ней то и дело вставали и тонули такие же курганы и, быть может, в каждом из них сидят и ждут чего -то такие же неведомые воины с глазными впадинами, обращенными к азиатскому востоку, между тем как с запада летит громыхающий поезд, и сыплет искрами в ночную темноту, и сотрясает старые степные могилы."
"sci","количество дней с пыльными бурями увеличилось от 15,1 до 17,3.      в зауральской степи наличие или отсутствие рисков деградации почвенного покрова определяется прежде всего развитием водной и ветровой эрозии и засолением."
"fict","колокольчики зап?ли надъ степями, унылой ширью уб?гавшими подъ горизонты."
"fict","колька не слышал этого, сейчас, к середине лета, ослабшего призыва жизни, он только замечал, как все суетится, живет: шустро бегали среди буреломного царства травы маленькие степные муравьи, волокли, сами плохо понимая куда, всякую всячину; плотными живучими пучками рос ковыль, развалился неприглядной мясистой розеткой коровник под пригорком."
"sci","комаров (1951) объяснял хорошую переносимость пожаров двудольными растениями частыми пожарами в степной зоне, которые отбирали более устойчивые виды."
"sci","комбинации почвенно-фитоценотических признаков рассматривались как индикаторы экспансии или отступания лесных сообществ на участках, которые с высокой вероятностью соответствуют типичной экологической нише лесов или степей в рельефе."
"sci","комиссией было предложено основать школу в г. троицке, «близком к казахским степям и менее доступном татарскому влиянию» [адельбаева, 2010]."
"sci","комплексный подход в изучении растительного покрова степных экосистем, включающий изучение флоры, состава и структуры растительных сообществ, динамики надземной фитомассы и кормовых качеств, позволит определить степень оптимальной, «естественной» пастбищной нагрузки, разработать систему выпаса и баланса необходимых для сохранения степных экосистем."
"fict","—коней надо попоить, вон пруд,— сказал стерлядников, указывая плетью на синевшую вдали полоску степного пруда."
"fict","конечно, в нем иногда высказывался помещик и степняк; но человек он все-таки был славный."
"fict","конечно, кроншнеп живет же в степи, но зато там хотя сухо да просторно, и притом, он, в известные времена года, бывает постоянным посетителем мокрых и мягких берегов всяких вод."
"sci","конечно, при анализе полученных этим методом данных нужно учитывать влияние погоды в период учёта, степных пожаров и других факторов, а также особенности циклов развития разных видов членистоногих."
